source_term,target_term,suggested_type,reason
RIG-150 CNC內圓磨床保養辦法,RIG-150 CNC internal grinding machine maintain instruction,strict_required,正式文件、程序或表單名稱，應完整維持指定譯名
S550放電加工機操作及保養辦法,S550 electrical discharge machine operate and maintain instruction,strict_required,正式文件、程序或表單名稱，應完整維持指定譯名
SC-680真空包裝機操作及保養辦法,SC-680 vacuum packaging machine operate and maintain instruction,strict_required,正式文件、程序或表單名稱，應完整維持指定譯名
SIP品號明細表,SIP part numbers list,strict_required,正式文件、程序或表單名稱，應完整維持指定譯名
SIP變更管制記錄表,SIP change control record form,strict_required,正式文件、程序或表單名稱，應完整維持指定譯名
SOP,SOP,strict_required,專有名詞、縮寫、代碼或型號，應精確維持指定寫法
ST-101 砂帶機操作及保養辦法,ST-101 belt sander operate machine and maintain instruction,strict_required,正式文件、程序或表單名稱，應完整維持指定譯名
STARRETT HF600投影機操作作業辦法,STARRETT HF600 projector operate instruction,strict_required,正式文件、程序或表單名稱，應完整維持指定譯名
STP MAGIS 600 CNC刀具設定儀保養(點檢)記錄表,STP MAGIS 600 CNC Tooling setting instrument maintenance daily checklist,strict_required,正式文件、程序或表單名稱，應完整維持指定譯名
TM-R旋風式噴砂機保養辦法,TM-R tornado sandblasting machine maintain instruction,strict_required,正式文件、程序或表單名稱，應完整維持指定譯名
Ti-6Al-4V ELI鍛造品質規範,Quality requirement for Ti-6Al-4V ELI forging,strict_required,正式文件、程序或表單名稱，應完整維持指定譯名
Ti-6Al-4V 產品燒結後品質規範,Quality requirement for Ti-6Al-4V product sintered,strict_required,正式文件、程序或表單名稱，應完整維持指定譯名
UDI-DI (GTIN),UDI-DI (GTIN),strict_required,專有名詞、縮寫、代碼或型號，應精確維持指定寫法
UDI條碼列印確效作業辦法,UDI barcode print validation work instruction,strict_required,正式文件、程序或表單名稱，應完整維持指定譯名
UDI資訊登錄作業辦法,UDI information registration work instruction,strict_required,正式文件、程序或表單名稱，應完整維持指定譯名
UDI進料檢驗記錄表,UDI In-coming inspection record form,strict_required,正式文件、程序或表單名稱，應完整維持指定譯名
UHMWPE混合Vitamin E材料品質規範,Quality requirement for highly crosslinked UHMWPE with blended vitamin E,strict_required,正式文件、程序或表單名稱，應完整維持指定譯名
VDmax25,VDmax25,strict_required,專有名詞、縮寫、代碼或型號，應精確維持指定寫法
WS-803自動球面搪磨機保養辦法,WS-803 automatic spherical honing machine maintain instruction,strict_required,正式文件、程序或表單名稱，應完整維持指定譯名
X-Ray操作及保養辦法,X-Ray operate and maintenance instruction,strict_required,正式文件、程序或表單名稱，應完整維持指定譯名
X-Ray檢測品質規範,X-ray inspection criteria,strict_required,正式文件、程序或表單名稱，應完整維持指定譯名
X-ray設備保養(日點檢)記錄表,X-ray equipment maintenance daily checklist,strict_required,正式文件、程序或表單名稱，應完整維持指定譯名
YCM-FV85A CNC銑床保養辦法,YCM-FV85A CNC milling machine maintain instruction,strict_required,正式文件、程序或表單名稱，應完整維持指定譯名
Z製程,Z process,strict_required,專有名詞、縮寫、代碼或型號，應精確維持指定寫法
一級主管,Director,lexical_required,一般職稱、角色或人員稱謂，可依上下文調整單複數與冠詞
一般安全與性能要求檢查表,Checklist for general safety and performance requirements,strict_required,正式文件、程序或表單名稱，應完整維持指定譯名
一般性委外加工,General Outsourcing,lexical_required,一般英文詞彙或專業用語，可接受合理的單複數、詞性、冠詞或大小寫變化
一般會計組,General Accounting Section,strict_required,正式部門或組織單位名稱，應固定使用指定譯名
一般訓練,General training,lexical_required,一般英文詞彙或專業用語，可接受合理的單複數、詞性、冠詞或大小寫變化
一般訓練辦理,General training,lexical_required,一般英文詞彙或專業用語，可接受合理的單複數、詞性、冠詞或大小寫變化
一般說明,General description,reference_only,屬描述性片語、章節語句或提示文字，翻譯可依上下文改寫，不宜因未精確出現而判定失敗
一般需求,general requirements,reference_only,屬描述性片語、章節語句或提示文字，翻譯可依上下文改寫，不宜因未精確出現而判定失敗
三次元CMM保養(點檢)記錄表,CMM maintenance daily checklist,strict_required,正式文件、程序或表單名稱，應完整維持指定譯名
三線規校正作業辦法,Three-wire gauge calibrate instruction,strict_required,正式文件、程序或表單名稱，應完整維持指定譯名
三豐三次元CMM保養(點檢)記錄表,Mitutoyo CMM maintenance daily checklist,strict_required,正式文件、程序或表單名稱，應完整維持指定譯名
上市後監督,Post market surveillance,lexical_required,一般英文詞彙或專業用語，可接受合理的單複數、詞性、冠詞或大小寫變化
上市後監督報告書,Post-market surveillance report,strict_required,正式文件、程序或表單名稱，應完整維持指定譯名
上市後監督技術文件,Technical documentation on post-market surveillance,strict_required,正式文件、程序或表單名稱，應完整維持指定譯名
上市後監督程序,Post market surveillance procedure,strict_required,正式文件、程序或表單名稱，應完整維持指定譯名
上市後監督計劃書,Post-market surveillance plan,strict_required,正式文件、程序或表單名稱，應完整維持指定譯名
上市後臨床追蹤,Post-market clinical follow-up,lexical_required,一般品質、法規或製程專業術語，可接受合理的單複數、詞性或語態變化
上市後臨床追蹤(PMCF)作業程序,Post-market clinical follow-up procedure,strict_required,正式文件、程序或表單名稱，應完整維持指定譯名
上市後臨床追蹤報告,PMCF report,strict_required,正式文件、程序或表單名稱，應完整維持指定譯名
上市後臨床追蹤報告書,PMCF evaluation report,strict_required,正式文件、程序或表單名稱，應完整維持指定譯名
上市後臨床追蹤計畫書,PMCF plan,strict_required,正式文件、程序或表單名稱，應完整維持指定譯名
上市後資訊的應用,Post-market surveillance information application,lexical_required,一般英文詞彙或專業用語，可接受合理的單複數、詞性、冠詞或大小寫變化
上市後資訊的異常管理,Non-conformance management of post-market surveillance information,lexical_required,一般動詞或作業用語，可依句型調整時態、語態或詞形
上市後階段,Post market stage,lexical_required,一般英文詞彙或專業用語，可接受合理的單複數、詞性、冠詞或大小寫變化
不合格品,nonconforming product,lexical_required,一般品質、法規或製程專業術語，可接受合理的單複數、詞性或語態變化
不合格品之來源,Source of non-conforming products,lexical_required,一般品質、法規或製程專業術語，可接受合理的單複數、詞性或語態變化
不合格品之評估與裁決,Evaluation and judgment of the non-conforming products,lexical_required,一般品質、法規或製程專業術語，可接受合理的單複數、詞性或語態變化
不合格品處理程序,Non-conforming product control procedure,strict_required,正式文件、程序或表單名稱，應完整維持指定譯名
不定期盤點,Irregular counting,lexical_required,一般英文詞彙或專業用語，可接受合理的單複數、詞性、冠詞或大小寫變化
不定期稽核,Nonscheduled audit,lexical_required,一般品質、法規或製程專業術語，可接受合理的單複數、詞性或語態變化
不符合,Non-Compliance,lexical_required,一般英文詞彙或專業用語，可接受合理的單複數、詞性、冠詞或大小寫變化
不符合事項通知,Nonconformity notice,lexical_required,一般英文詞彙或專業用語，可接受合理的單複數、詞性、冠詞或大小寫變化
不良事件,adverse event,lexical_required,一般英文詞彙或專業用語，可接受合理的單複數、詞性、冠詞或大小寫變化
不良副作用,Undesirable side-effect,lexical_required,一般英文詞彙或專業用語，可接受合理的單複數、詞性、冠詞或大小寫變化
不鏽鋼,stainless steel,lexical_required,一般英文詞彙或專業用語，可接受合理的單複數、詞性、冠詞或大小寫變化
不鏽鋼去氧化層,stainless steel deoxidation,lexical_required,一般英文詞彙或專業用語，可接受合理的單複數、詞性、冠詞或大小寫變化
不鏽鋼去氧化層及清洗線工作記錄表,Oxide layer removal and cleaning process of stainless steel operation record form,strict_required,正式文件、程序或表單名稱，應完整維持指定譯名
不鏽鋼氧化層去除及清洗製程規範,Oxide layer removal and cleaning process specification of stainless steel,strict_required,正式文件、程序或表單名稱，應完整維持指定譯名
不鏽鋼金屬煮沸測試規範,Testing criteria for boiling test of stainless steel,strict_required,正式文件、程序或表單名稱，應完整維持指定譯名
不鏽鋼鍛造製程規範,Stainless steel forging process specification,strict_required,正式文件、程序或表單名稱，應完整維持指定譯名
不需檢驗品,Non-inspected goods,lexical_required,一般品質、法規或製程專業術語，可接受合理的單複數、詞性或語態變化
不需檢驗證明書,Non-inspected goods certificate form,strict_required,正式文件、程序或表單名稱，應完整維持指定譯名
中國境內指定的代理人,Agent designated in China,lexical_required,一般英文詞彙或專業用語，可接受合理的單複數、詞性、冠詞或大小寫變化
中國大陸,China,strict_required,公司、主管機關、國家地區或資料庫正式名稱，應固定使用指定譯名
主管定期會議,Manager regular meeting,lexical_required,一般英文詞彙或專業用語，可接受合理的單複數、詞性、冠詞或大小寫變化
主要不符合事項,Major nonconformity,lexical_required,一般英文詞彙或專業用語，可接受合理的單複數、詞性、冠詞或大小寫變化
主要品質特性,Major characteristic,lexical_required,一般品質、法規或製程專業術語，可接受合理的單複數、詞性或語態變化
主要尺寸 Cpk,Process Capability Index,strict_required,專有名詞、縮寫、代碼或型號，應精確維持指定寫法
主要操作功能,primary operating function,lexical_required,一般英文詞彙或專業用語，可接受合理的單複數、詞性、冠詞或大小寫變化
乾燥箱校正作業辦法,Cabinet drier calibrate instruction,strict_required,正式文件、程序或表單名稱，應完整維持指定譯名
二次元高度規保養(點檢)記錄表,Two dimensions height gauge maintenance checklist,strict_required,正式文件、程序或表單名稱，應完整維持指定譯名
二級主管,Manager of Division,lexical_required,一般職稱、角色或人員稱謂，可依上下文調整單複數與冠詞
二維條碼檢測管制辦法,UDI inspection control instruction,strict_required,正式文件、程序或表單名稱，應完整維持指定譯名
二階段調撥單,Two stage transfer application form,strict_required,正式文件、程序或表單名稱，應完整維持指定譯名
交互實驗,interactive experiment,lexical_required,一般英文詞彙或專業用語，可接受合理的單複數、詞性、冠詞或大小寫變化
交貨前之不合格品處理,Dispose pre-delivery non-conforming products,lexical_required,一般動詞或作業用語，可依句型調整時態、語態或詞形
人事單位,HR Division,strict_required,正式部門或組織單位名稱，應固定使用指定譯名
人事組,HR Section,strict_required,正式部門或組織單位名稱，應固定使用指定譯名
人力發展管理程序,Human resource development procedure,strict_required,正式文件、程序或表單名稱，應完整維持指定譯名
人力開發規劃及員工考核,KPI,strict_required,屬描述性片語、章節語句或提示文字，翻譯可依上下文改寫，不宜因未精確出現而判定失敗
人員健康與工業安全,Personnel health and industrial safety,lexical_required,一般英文詞彙或專業用語，可接受合理的單複數、詞性、冠詞或大小寫變化
人員訓練,Train personnel on their responsibilities,lexical_required,一般英文詞彙或專業用語，可接受合理的單複數、詞性、冠詞或大小寫變化
人眼可識別資訊,Human readable interpretation,lexical_required,一般英文詞彙或專業用語，可接受合理的單複數、詞性、冠詞或大小寫變化
介電質薄膜電容濕度計,electrolyte film capacitance hygrometer,lexical_required,一般英文詞彙或專業用語，可接受合理的單複數、詞性、冠詞或大小寫變化
代工產品報價作業辦法,OEM products quotation work Instruction,strict_required,正式文件、程序或表單名稱，應完整維持指定譯名
代工產品編碼管理辦法,OEM product coding management instruction,strict_required,正式文件、程序或表單名稱，應完整維持指定譯名
代理產品,Imported products,lexical_required,一般英文詞彙或專業用語，可接受合理的單複數、詞性、冠詞或大小寫變化
代理產品客戶訴怨受理與處理,Receive and dispose customer complaints of distributed products,lexical_required,一般動詞或作業用語，可依句型調整時態、語態或詞形
代理產品通報,Report for agent products,lexical_required,一般動詞或作業用語，可依句型調整時態、語態或詞形
代表性包裝,Master Packaging,lexical_required,一般品質、法規或製程專業術語，可接受合理的單複數、詞性或語態變化
代表性產品,Master product,lexical_required,一般英文詞彙或專業用語，可接受合理的單複數、詞性、冠詞或大小寫變化
任務,task,lexical_required,一般英文詞彙或專業用語，可接受合理的單複數、詞性、冠詞或大小寫變化
企劃組,Product Planning & Research Team,strict_required,正式部門或組織單位名稱，應固定使用指定譯名
企業流程組,Corporate Process Section,strict_required,正式部門或組織單位名稱，應固定使用指定譯名
位置/狀況,Location / status,reference_only,屬描述性片語、章節語句或提示文字，翻譯可依上下文改寫，不宜因未精確出現而判定失敗
低倍光學檢驗,low magnification inspection,lexical_required,一般動詞或作業用語，可依句型調整時態、語態或詞形
作廢文件之管制,Obsolete documents control,lexical_required,一般動詞或作業用語，可依句型調整時態、語態或詞形
作業熱電偶,Work Thermocouples,lexical_required,一般英文詞彙或專業用語，可接受合理的單複數、詞性、冠詞或大小寫變化
作業說明書(一),Operation description form I,strict_required,正式文件、程序或表單名稱，應完整維持指定譯名
作業說明書(三),Operation description form III,strict_required,正式文件、程序或表單名稱，應完整維持指定譯名
作業說明書(二),Operation description form II,strict_required,正式文件、程序或表單名稱，應完整維持指定譯名
作業說明書(四),Operation description form IV,strict_required,正式文件、程序或表單名稱，應完整維持指定譯名
使用單位,Using Division,strict_required,正式部門或組織單位名稱，應固定使用指定譯名
使用獨立批號原則,Principle of using independent lot numbers,lexical_required,一般英文詞彙或專業用語，可接受合理的單複數、詞性、冠詞或大小寫變化
使用環境,use environment,lexical_required,一般英文詞彙或專業用語，可接受合理的單複數、詞性、冠詞或大小寫變化
使用群,user group,lexical_required,一般英文詞彙或專業用語，可接受合理的單複數、詞性、冠詞或大小寫變化
使用者,user,lexical_required,一般職稱、角色或人員稱謂，可依上下文調整單複數與冠詞
使用者介面,user interface,lexical_required,一般英文詞彙或專業用語，可接受合理的單複數、詞性、冠詞或大小寫變化
使用者介面的生產與生產後資訊,the production and post-production information of user interface,lexical_required,一般品質、法規或製程專業術語，可接受合理的單複數、詞性或語態變化
使用者介面規格,user interface specification,lexical_required,一般英文詞彙或專業用語，可接受合理的單複數、詞性、冠詞或大小寫變化
使用者介面評估,user interface evaluation,lexical_required,一般動詞或作業用語，可依句型調整時態、語態或詞形
使用者介面需求,user interface requirements,lexical_required,一般英文詞彙或專業用語，可接受合理的單複數、詞性、冠詞或大小寫變化
使用者回饋,User feed-back,lexical_required,一般英文詞彙或專業用語，可接受合理的單複數、詞性、冠詞或大小寫變化
使用者專家檢視,expert reviews,lexical_required,一般英文詞彙或專業用語，可接受合理的單複數、詞性、冠詞或大小寫變化
使用者描述,user profile,lexical_required,一般英文詞彙或專業用語，可接受合理的單複數、詞性、冠詞或大小寫變化
使用者操作錯誤,User error,lexical_required,一般英文詞彙或專業用語，可接受合理的單複數、詞性、冠詞或大小寫變化
使用者權限單,Permission Request Form,strict_required,正式文件、程序或表單名稱，應完整維持指定譯名
使用者訓練作業辦法,User training work instruction,strict_required,正式文件、程序或表單名稱，應完整維持指定譯名
使用者訓練滿意度,Customer Training Satisfaction,lexical_required,一般英文詞彙或專業用語，可接受合理的單複數、詞性、冠詞或大小寫變化
使用者訓練滿意度調查彙整表,Customer Training Satisfaction Survey Conclusion,strict_required,正式文件、程序或表單名稱，應完整維持指定譯名
使用者訓練簽到表,Customer training attendance form,strict_required,正式文件、程序或表單名稱，應完整維持指定譯名
使用者需求,user need,lexical_required,一般英文詞彙或專業用語，可接受合理的單複數、詞性、冠詞或大小寫變化
使用表單,Q Forms,strict_required,正式文件、程序或表單名稱，應完整維持指定譯名
使用規格,use specification,lexical_required,一般英文詞彙或專業用語，可接受合理的單複數、詞性、冠詞或大小寫變化
使用說明,Instruction for use,lexical_required,一般英文詞彙或專業用語，可接受合理的單複數、詞性、冠詞或大小寫變化
使用說明上應有的資訊,Information in the instructions for use,reference_only,屬描述性片語、章節語句或提示文字，翻譯可依上下文改寫，不宜因未精確出現而判定失敗
使用說明書,User manual,strict_required,正式文件、程序或表單名稱，應完整維持指定譯名
使用錯誤,use error,lexical_required,一般英文詞彙或專業用語，可接受合理的單複數、詞性、冠詞或大小寫變化
使用／保養管理,Utilization / Maintenance management,lexical_required,一般動詞或作業用語，可依句型調整時態、語態或詞形
來源,Source,reference_only,屬描述性片語、章節語句或提示文字，翻譯可依上下文改寫，不宜因未精確出現而判定失敗
供應商,Supplier,lexical_required,一般職稱、角色或人員稱謂，可依上下文調整單複數與冠詞
供應商/外包商環安衛 自我評估表,Supplier/Outsourcer ESH self-assessment questionnaire,strict_required,正式文件、程序或表單名稱，應完整維持指定譯名
供應商/外包商環安衛自我評估表,Supplier/Outsourcer ESH self-assessment questionnaire,strict_required,正式文件、程序或表單名稱，應完整維持指定譯名
供應商交貨不良通知單,Supplier non-conformity notice form,strict_required,正式文件、程序或表單名稱，應完整維持指定譯名
供應商交貨品質,Suppliers delivery quality,lexical_required,一般品質、法規或製程專業術語，可接受合理的單複數、詞性或語態變化
供應商代工報廢品處理辦法,Supplier scrap parts disposite instruction,strict_required,正式文件、程序或表單名稱，應完整維持指定譯名
供應商供貨名詞定義,Definition of Supplier Supply Terms,lexical_required,一般品質、法規或製程專業術語，可接受合理的單複數、詞性或語態變化
供應商再評估表,Supplier re-assessment form,strict_required,正式文件、程序或表單名稱，應完整維持指定譯名
供應商再評核作業,Supplier Re-evaluation,lexical_required,一般品質、法規或製程專業術語，可接受合理的單複數、詞性或語態變化
供應商品質保證協議書,Supplier quality agreement,strict_required,正式文件、程序或表單名稱，應完整維持指定譯名
供應商品質稽核作業辦法,Supplier quality audit work instruction,strict_required,正式文件、程序或表單名稱，應完整維持指定譯名
供應商品質管理工程表,Supplier quality control plan form,strict_required,正式文件、程序或表單名稱，應完整維持指定譯名
供應商品質系統稽核簽到表,Supplier quality system audit meeting attendees list,strict_required,正式文件、程序或表單名稱，應完整維持指定譯名
供應商品質系統稽核表,Supplier quality system audit list,strict_required,正式文件、程序或表單名稱，應完整維持指定譯名
供應商品質系統稽核計畫表,Supplier quality system audit plan form,strict_required,正式文件、程序或表單名稱，應完整維持指定譯名
供應商器械產品包裝規範,Supplier instrument product packaging standard,strict_required,正式文件、程序或表單名稱，應完整維持指定譯名
供應商器械盒外觀判定品質規範,Cosmetic quality standards - Instrument case (for supplier),strict_required,正式文件、程序或表單名稱，應完整維持指定譯名
供應商塑膠製品外觀品質規範(器械用),Cosmetic quality standards - plastic products of instruments (for supplier),strict_required,正式文件、程序或表單名稱，應完整維持指定譯名
供應商批號管理作業辦法,Supplier lot number management work instruction,strict_required,正式文件、程序或表單名稱，應完整維持指定譯名
供應商改善要求單,Supplier corrective action request (S.C.A.R),strict_required,正式文件、程序或表單名稱，應完整維持指定譯名
供應商文件,Documents provided by suppliers,lexical_required,一般品質、法規或製程專業術語，可接受合理的單複數、詞性或語態變化
供應商樣品試作打樣作業辦法,Supplier Prototyping Process,strict_required,正式文件、程序或表單名稱，應完整維持指定譯名
供應商永續發展評估表,Supplier ESG assessment form,strict_required,正式文件、程序或表單名稱，應完整維持指定譯名
供應商監控與管理,Supplier Monitor and Management,lexical_required,一般動詞或作業用語，可依句型調整時態、語態或詞形
供應商稽核日程表,Supplier audit schedule,strict_required,正式文件、程序或表單名稱，應完整維持指定譯名
供應商管理作業說明,Description of supplier management,strict_required,正式文件、程序或表單名稱，應完整維持指定譯名
供應商管理程序,Supplier management procedure,strict_required,正式文件、程序或表單名稱，應完整維持指定譯名
供應商管理組,Supplier Management Section,strict_required,正式部門或組織單位名稱，應固定使用指定譯名
供應商表現度,Supplier Performance Report,strict_required,正式文件、程序或表單名稱，應完整維持指定譯名
供應商表現度評分表,Supplier performance scored sheet,strict_required,正式文件、程序或表單名稱，應完整維持指定譯名
供應商表面處理外觀品質規範(器械用),Cosmetic quality standards of instruments (for surface treatment supplier),strict_required,正式文件、程序或表單名稱，應完整維持指定譯名
供應商評估/稽核缺失報告,Supplier assessed/audited nonconformity report,strict_required,正式文件、程序或表單名稱，應完整維持指定譯名
供應商評核改善確認,Supplier Improvement Confirmation,lexical_required,一般動詞或作業用語，可依句型調整時態、語態或詞形
供應商變更,Supplier change,lexical_required,一般品質、法規或製程專業術語，可接受合理的單複數、詞性或語態變化
供應商變更申請表,Supplier change application form,strict_required,正式文件、程序或表單名稱，應完整維持指定譯名
供應商變更聲明書,Supplier change declaration,strict_required,正式文件、程序或表單名稱，應完整維持指定譯名
供應商資格審查與評核,Supplier Profile Review and Evaluation,lexical_required,一般品質、法規或製程專業術語，可接受合理的單複數、詞性或語態變化
供應商遴選方式,Supplier sourcing,lexical_required,一般品質、法規或製程專業術語，可接受合理的單複數、詞性或語態變化
供應商金屬加工外觀品質規範(器械用),Cosmetic quality standards - Metallic products of instruments (for machining supplier),strict_required,正式文件、程序或表單名稱，應完整維持指定譯名
供應商領料作業說明,Description of supplier’s material picking,strict_required,正式文件、程序或表單名稱，應完整維持指定譯名
供應商首批承認通知書,Supplier first article approval notice,strict_required,正式文件、程序或表單名稱，應完整維持指定譯名
供應商首批樣品承認書,Supplier first article approval report,strict_required,正式文件、程序或表單名稱，應完整維持指定譯名
