entry_id,library_id,source_lang,target_lang,source_term,target_term,current_validation_type,suggested_validation_type,classification_reason,confidence,reviewed_validation_type,review_note
1393,2,zh,en,M/C 銑床-三軸操作及保養辦法,3 axial milling machine operate and maintain instruction,,,,,strict_required,
1394,2,zh,en,M/C 銑床-五軸操作及保養辦法,5-axial milling machine operate and maintain instruction,,,,,strict_required,
1395,2,zh,en,M140X2 RD五軸立式車銑加工機保養辦法,MI40X2 RD five-axis vertical turning and lathes machine maintain instruction,,,,,strict_required,
1396,2,zh,en,M200Xd1 RD銑車複合加工機操作及保養辦法,M200Xd1 RD CNC Mill-Turn Multi-Tasking Machine operate and maintain instruction,,,,,strict_required,
1397,2,zh,en,M641球面研磨機操作及保養辦法,M641 spherical milling machine operate and maintain instruction,,,,,strict_required,
1398,2,zh,en,MCN申請/通知單,MCN notice from,,,,,strict_required,
1399,2,zh,en,MD-U1000C雷射刻印機操作及保養辦法,MD-U1000C laser marking machine operate and maintain instruction,,,,,strict_required,
1400,2,zh,en,MD-V9920雷射刻印機操作及保養辦法,MD-V9920 laser marking machine operate and maintain instruction,,,,,strict_required,
1401,2,zh,en,MD-X1520雷射刻印機操作及保養辦法,MD-X1520 laser marking machine operate and maintain instruction,,,,,strict_required,
1402,2,zh,en,Mitutoyo SJ-201表面粗度儀校正作業辦法,Mitutoyo SJ-201 surface roughness tester calibrate instruction,,,,,strict_required,
2207,2,zh,en,ODM,ODM,,,,,strict_required,
2208,2,zh,en,OEM,OEM,,,,,strict_required,
2209,2,zh,en,PBM,PBM,,,,,strict_required,
2210,2,zh,en,PFMEA,PFMEA,,,,,strict_required,
2211,2,zh,en,PFMEA文件,PFMEA document,,,,,strict_required,
317,2,zh,en,PH計量測值,pH meter,,,,,strict_required,
316,2,zh,en,PH值,pH values,,,,,strict_required,
1403,2,zh,en,Pro500電解拋光機操作及保養辦法,Pro500electropolishing operate and maintain instruction,,,,,strict_required,
318,2,zh,en,R&R分析,repeatability and reproducibility analysis,,,,,strict_required,
1404,2,zh,en,RIG-150 CNC內圓磨床保養辦法,RIG-150 CNC internal grinding machine maintain instruction,,,,,strict_required,
1405,2,zh,en,S550放電加工機操作及保養辦法,S550 electrical discharge machine operate and maintain instruction,,,,,strict_required,
1406,2,zh,en,SC-680真空包裝機操作及保養辦法,SC-680 vacuum packaging machine operate and maintain instruction,,,,,strict_required,
1407,2,zh,en,SIP品號明細表,SIP part numbers list,,,,,strict_required,
1408,2,zh,en,SIP變更管制記錄表,SIP change control record form,,,,,strict_required,
2212,2,zh,en,SOP,SOP,,,,,strict_required,
1409,2,zh,en,ST-101 砂帶機操作及保養辦法,ST-101 belt sander operate machine and maintain instruction,,,,,strict_required,
1410,2,zh,en,STARRETT HF600投影機操作作業辦法,STARRETT HF600 projector operate instruction,,,,,strict_required,
1411,2,zh,en,STP MAGIS 600 CNC刀具設定儀保養(點檢)記錄表,STP MAGIS 600 CNC Tooling setting instrument maintenance daily checklist,,,,,strict_required,
1413,2,zh,en,Ti-6Al-4V ELI鍛造品質規範,Quality requirement for Ti-6Al-4V ELI forging,,,,,strict_required,
1414,2,zh,en,Ti-6Al-4V 產品燒結後品質規範,Quality requirement for Ti-6Al-4V product sintered,,,,,strict_required,
1412,2,zh,en,TM-R旋風式噴砂機保養辦法,TM-R tornado sandblasting machine maintain instruction,,,,,strict_required,
2213,2,zh,en,UDI-DI (GTIN),UDI-DI (GTIN),,,,,strict_required,
1415,2,zh,en,UDI條碼列印確效作業辦法,UDI barcode print validation work instruction,,,,,strict_required,
1417,2,zh,en,UDI進料檢驗記錄表,UDI In-coming inspection record form,,,,,strict_required,
1416,2,zh,en,UDI資訊登錄作業辦法,UDI information registration work instruction,,,,,strict_required,
1418,2,zh,en,UHMWPE混合Vitamin E材料品質規範,Quality requirement for highly crosslinked UHMWPE with blended vitamin E,,,,,strict_required,
2214,2,zh,en,VDmax25,VDmax25,,,,,strict_required,
1419,2,zh,en,WS-803自動球面搪磨機保養辦法,WS-803 automatic spherical honing machine maintain instruction,,,,,strict_required,
1422,2,zh,en,X-ray設備保養(日點檢)記錄表,X-ray equipment maintenance daily checklist,,,,,strict_required,
1420,2,zh,en,X-Ray操作及保養辦法,X-Ray operate and maintenance instruction,,,,,strict_required,
1421,2,zh,en,X-Ray檢測品質規範,X-ray inspection criteria,,,,,strict_required,
1423,2,zh,en,YCM-FV85A CNC銑床保養辦法,YCM-FV85A CNC milling machine maintain instruction,,,,,strict_required,
2215,2,zh,en,Z製程,Z process,,,,,strict_required,
2216,2,zh,en,一級主管,Director,,,,,lexical_required,
1424,2,zh,en,一般安全與性能要求檢查表,Checklist for general safety and performance requirements,,,,,strict_required,
2217,2,zh,en,一般性委外加工,General Outsourcing,,,,,lexical_required,
2219,2,zh,en,一般訓練,General training,,,,,lexical_required,
2220,2,zh,en,一般訓練辦理,General training,,,,,lexical_required,
2218,2,zh,en,一般會計組,General Accounting Section,,,,,strict_required,
2221,2,zh,en,一般說明,General description,,,,,reference_only,
319,2,zh,en,一般需求,general requirements,,,,,reference_only,
1441,2,zh,en,二次元高度規保養(點檢)記錄表,Two dimensions height gauge maintenance checklist,,,,,strict_required,
2242,2,zh,en,二級主管,Manager of Division,,,,,lexical_required,
1443,2,zh,en,二階段調撥單,Two stage transfer application form,,,,,strict_required,
1442,2,zh,en,二維條碼檢測管制辦法,UDI inspection control instruction,,,,,strict_required,
1444,2,zh,en,人力發展管理程序,Human resource development procedure,,,,,strict_required,
2246,2,zh,en,人力開發規劃及員工考核,KPI,,,,,strict_required,
2245,2,zh,en,人事組,HR Section,,,,,strict_required,
2244,2,zh,en,人事單位,HR Division,,,,,strict_required,
2248,2,zh,en,人員訓練,Train personnel on their responsibilities,,,,,lexical_required,
2247,2,zh,en,人員健康與工業安全,Personnel health and industrial safety,,,,,lexical_required,
2249,2,zh,en,人眼可識別資訊,Human readable interpretation,,,,,lexical_required,
2315,2,zh,en,入庫,Stock,,,,,lexical_required,
2316,2,zh,en,入庫作業,Stocking,,,,,lexical_required,
1494,2,zh,en,入庫單,Materials stock in form,,,,,strict_required,
2317,2,zh,en,入職訓練,Induction training,,,,,lexical_required,
1495,2,zh,en,入職訓練暨審定記錄表,Induction training record form,,,,,strict_required,
2318,2,zh,en,入職訓練辦理,Induction training,,,,,lexical_required,
1496,2,zh,en,入職課程表,Induction training schedule,,,,,strict_required,
2338,2,zh,en,刀工具管理,Tooling management,,,,,lexical_required,
1516,2,zh,en,刀具量測儀保養(點檢)記錄表,Tooling measuring equipment maintenance daily checklist,,,,,strict_required,
1425,2,zh,en,三次元CMM保養(點檢)記錄表,CMM maintenance daily checklist,,,,,strict_required,
1426,2,zh,en,三線規校正作業辦法,Three-wire gauge calibrate instruction,,,,,strict_required,
1427,2,zh,en,三豐三次元CMM保養(點檢)記錄表,Mitutoyo CMM maintenance daily checklist,,,,,strict_required,
2228,2,zh,en,上市後階段,Post market stage,,,,,lexical_required,
2227,2,zh,en,上市後資訊的異常管理,Non-conformance management of post-market surveillance information,,,,,lexical_required,
2226,2,zh,en,上市後資訊的應用,Post-market surveillance information application,,,,,lexical_required,
2222,2,zh,en,上市後監督,Post market surveillance,,,,,lexical_required,
2223,2,zh,en,上市後監督技術文件,Technical documentation on post-market surveillance,,,,,strict_required,
1430,2,zh,en,上市後監督計劃書,Post-market surveillance plan,,,,,strict_required,
1428,2,zh,en,上市後監督報告書,Post-market surveillance report,,,,,strict_required,
1429,2,zh,en,上市後監督程序,Post market surveillance procedure,,,,,strict_required,
2224,2,zh,en,上市後臨床追蹤,Post-market clinical follow-up,,,,,lexical_required,
1431,2,zh,en,上市後臨床追蹤(PMCF)作業程序,Post-market clinical follow-up procedure,,,,,strict_required,
1433,2,zh,en,上市後臨床追蹤計畫書,PMCF plan,,,,,strict_required,
2225,2,zh,en,上市後臨床追蹤報告,PMCF report,,,,,strict_required,
1432,2,zh,en,上市後臨床追蹤報告書,PMCF evaluation report,,,,,strict_required,
2374,2,zh,en,口頭建議,Oral suggestion,,,,,lexical_required,
1606,2,zh,en,大氣電漿噴塗生產記錄表,Atmospheric plasma spraying production record form,,,,,strict_required,
1607,2,zh,en,大氣電漿噴塗系統操作及保養辦法,Atmospheric plasma spraying system operate and maintain instruction,,,,,strict_required,
1603,2,zh,en,大氣熱處理爐工件擺放位置標示作業辦法,Position arrange in air circulation furnace work instruction,,,,,strict_required,
376,2,zh,en,大氣爐,oven,,,,,lexical_required,
1605,2,zh,en,大氣爐均溫量測作業辦法,Air circulation furnace temperature uniformity measurement work instruction,,,,,strict_required,
1604,2,zh,en,大氣爐均溫管制記錄表,Oven temperature uniformity control record form,,,,,strict_required,
2482,2,zh,en,子公司,Subsidiaries,,,,,lexical_required,
1610,2,zh,en,子公司及關聯企業採購訂單流程作業辦法,Purchase order process instruction of the subsidiary companies and affiliates work instruction,,,,,strict_required,
1647,2,zh,en,工、治具交接一覽表,Jigs and fixtures transition list,,,,,strict_required,
2546,2,zh,en,工安組,Laborer Safety and Health Section,,,,,strict_required,
2156,2,zh,en,工安部,Laborer Safety and Health Division,,,,,strict_required,
2545,2,zh,en,工安單位,Laborer Safety and Health Division,,,,,strict_required,
1649,2,zh,en,工作支援申請單,Task supports application form,,,,,strict_required,
1648,2,zh,en,工作支援單作業辦法,Task supporting work instruction,,,,,strict_required,
2542,2,zh,en,工作支援單發行,Release task supports application form,,,,,lexical_required,
1651,2,zh,en,工作角色異動表,Job role add and change form,,,,,strict_required,
1650,2,zh,en,工作角色彙整表,Job role compilation table,,,,,strict_required,
385,2,zh,en,工作記錄表,operation record form,,,,,strict_required,
2541,2,zh,en,工作區域尺寸,Work zone Size,,,,,lexical_required,
2540,2,zh,en,工作區域容積,Workspace Volume,,,,,lexical_required,
2543,2,zh,en,工單,Work order,,,,,strict_required,
1653,2,zh,en,工單退料單,Material returned for work order form,,,,,strict_required,
1652,2,zh,en,工單發料單,Material released for work order form,,,,,strict_required,
2544,2,zh,en,工單編碼原則,Work order coding principles,,,,,lexical_required,
1654,2,zh,en,工程能力評估調查表,Engineering evaluate survey form,,,,,strict_required,
2548,2,zh,en,工程組,Engineering Section,,,,,strict_required,
1655,2,zh,en,工程設計相關電腦檔案儲存辦法,Product drawing electrical file storage work instruction,,,,,strict_required,
2547,2,zh,en,工程單位,Engineering Division,,,,,strict_required,
386,2,zh,en,已上市產品,post-market product,,,,,lexical_required,
320,2,zh,en,不合格品,nonconforming product,,,,,lexical_required,
2229,2,zh,en,不合格品之來源,Source of non-conforming products,,,,,lexical_required,
2230,2,zh,en,不合格品之評估與裁決,Evaluation and judgment of the non-conforming products,,,,,lexical_required,
1434,2,zh,en,不合格品處理程序,Non-conforming product control procedure,,,,,strict_required,
322,2,zh,en,不良事件,adverse event,,,,,lexical_required,
2234,2,zh,en,不良副作用,Undesirable side-effect,,,,,lexical_required,
2231,2,zh,en,不定期盤點,Irregular counting,,,,,lexical_required,
321,2,zh,en,不定期稽核,Nonscheduled audit,,,,,lexical_required,
2232,2,zh,en,不符合,Non-Compliance,,,,,lexical_required,
2233,2,zh,en,不符合事項通知,Nonconformity notice,,,,,lexical_required,
2235,2,zh,en,不需檢驗品,Non-inspected goods,,,,,lexical_required,
1439,2,zh,en,不需檢驗證明書,Non-inspected goods certificate form,,,,,strict_required,
323,2,zh,en,不鏽鋼,stainless steel,,,,,lexical_required,
324,2,zh,en,不鏽鋼去氧化層,stainless steel deoxidation,,,,,lexical_required,
1435,2,zh,en,不鏽鋼去氧化層及清洗線工作記錄表,Oxide layer removal and cleaning process of stainless steel operation record form,,,,,strict_required,
1437,2,zh,en,不鏽鋼金屬煮沸測試規範,Testing criteria for boiling test of stainless steel,,,,,strict_required,
1436,2,zh,en,不鏽鋼氧化層去除及清洗製程規範,Oxide layer removal and cleaning process specification of stainless steel,,,,,strict_required,
1438,2,zh,en,不鏽鋼鍛造製程規範,Stainless steel forging process specification,,,,,strict_required,
2237,2,zh,en,中國大陸,China,,,,,strict_required,
2236,2,zh,en,中國境內指定的代理人,Agent designated in China,,,,,lexical_required,
327,2,zh,en,介電質薄膜電容濕度計,electrolyte film capacitance hygrometer,,,,,lexical_required,
342,2,zh,en,允收標準,acceptance criteria,,,,,lexical_required,
1497,2,zh,en,內外部溝通作業辦法,Internal and external communication work instruction,,,,,strict_required,
2320,2,zh,en,內毒素,Endotoxin,,,,,lexical_required,
2321,2,zh,en,內毒素單位,"Endotoxin Unit, EU",,,,,strict_required,
1499,2,zh,en,內毒素評估報告,Endotoxin evaluation report,,,,,strict_required,
1498,2,zh,en,內毒素管制作業辦法,Endotoxin control work instruction,,,,,strict_required,
572,2,zh,en,內容,Contents,,,,,strict_required,
2319,2,zh,en,內校,Internal calibration,,,,,lexical_required,
1500,2,zh,en,內訓申請暨簽到表,Internal training application and sign-in form,,,,,strict_required,
1501,2,zh,en,內訓課後分析與建議調查表,Internal training final survey form,,,,,strict_required,
2322,2,zh,en,內部品質稽核,Internal quality audit,,,,,lexical_required,
1502,2,zh,en,內部品質稽核管制程序,Internal audit procedure,,,,,strict_required,
2324,2,zh,en,內部訓練,Internal training,,,,,lexical_required,
2323,2,zh,en,內部製程挑戰產品,IPCD,,,,,strict_required,
1503,2,zh,en,內部稽核—不符合事項通知單,Internal audit--nonconformity notice form,,,,,strict_required,
1504,2,zh,en,內部稽核總結報告書,Internal audit summary report,,,,,strict_required,
2325,2,zh,en,內部講師,Internal trainer,,,,,lexical_required,
2330,2,zh,en,公司政策宣導,Corporate Policy Advocacy,,,,,lexical_required,
2328,2,zh,en,公共區域,Public area,,,,,lexical_required,
1506,2,zh,en,公共設備保養記錄表,Public equipment maintenance record list,,,,,strict_required,
1505,2,zh,en,公共設備保養維護管理辦法,Public equipment maintain instruction,,,,,strict_required,
1507,2,zh,en,公共設備檢查記錄表,Public equipment check record form,,,,,strict_required,
2329,2,zh,en,公共衛生嚴重威脅,Serious public health threat,,,,,lexical_required,
344,2,zh,en,六倍顯微鏡,6x microscope,,,,,lexical_required,
2340,2,zh,en,分析方法,Analytical method,,,,,lexical_required,
2339,2,zh,en,分析單位及對策執行單位,Analysis Division and Action Taken Division,,,,,strict_required,
1517,2,zh,en,分析報告書,Analysis report,,,,,strict_required,
2341,2,zh,en,分類編碼,Classification code,,,,,lexical_required,
1519,2,zh,en,切斷製程規範,Material cutting process specification,,,,,strict_required,
1518,2,zh,en,切斷機操作及保養辦法,Cutting machine operation and maintain instruction,,,,,strict_required,
351,2,zh,en,化學成份,chemical composition,,,,,lexical_required,
2355,2,zh,en,化學指示劑又稱滅菌顯示標籤,"Chemical Indicator, CI Sterilization display label",,,,,strict_required,
352,2,zh,en,化學鈍化製程,chemical passivation process,,,,,lexical_required,
1526,2,zh,en,化學鈍化製程確效作業辦法,Validation of the chemical passivation process work instruction,,,,,strict_required,
2549,2,zh,en,巴西,Brazil,,,,,strict_required,
2550,2,zh,en,巴西醫療器械延續註冊申請,Registration renewal of ANVISA approved medical device certificate,,,,,strict_required,
394,2,zh,en,手術入路,surgical approach,,,,,lexical_required,
1681,2,zh,en,手術工具品質規範,Quality requirement for surgical instruments,,,,,strict_required,
1682,2,zh,en,手術工具製品外觀判定品質規範,Cosmetic inspection criteria for surgical instrument products,,,,,strict_required,
395,2,zh,en,手術技術手冊,surgical technique guide,,,,,strict_required,
1673,2,zh,en,手術器械功能確認檢查表,Surgical instruments functional checklist,,,,,strict_required,
1677,2,zh,en,手術器械生物學評估表,Instrument biological evaluation form,,,,,strict_required,
1680,2,zh,en,手術器械風險管理報告書,Instrument risk management report,,,,,strict_required,
2579,2,zh,en,手術器械產品,Surgical Instruments,,,,,lexical_required,
1679,2,zh,en,手術器械設計管制程序,Instrument design control procedure,,,,,strict_required,
1678,2,zh,en,手術器械設計歷史記錄表,Instrument design history file record list,,,,,strict_required,
1674,2,zh,en,手術器械單一識別碼直接刻印作業辦法,Instrument UDI direct part mark work instruction,,,,,strict_required,
1675,2,zh,en,手術器械實配檢查表,Surgical instruments assembly checklist,,,,,strict_required,
1676,2,zh,en,手術器械實配檢查表(Japan),Surgical instruments assembly checklist(Japan),,,,,strict_required,
2615,2,zh,en,文件,Documents,,,,,lexical_required,
1704,2,zh,en,文件/圖面申請單,Documents/drawings application form,,,,,strict_required,
2616,2,zh,en,文件之保存,Document filing,,,,,lexical_required,
2619,2,zh,en,文件分發,Document distribution,,,,,lexical_required,
1705,2,zh,en,文件分發管制記錄表,Documents distribution control record form,,,,,strict_required,
2621,2,zh,en,文件生效,Document release,,,,,lexical_required,
2622,2,zh,en,文件生效/發行,Document release,,,,,lexical_required,
2617,2,zh,en,文件來源,Document sources,,,,,lexical_required,
2618,2,zh,en,文件保存,Document Preservation,,,,,lexical_required,
1706,2,zh,en,文件格式作業辦法,Standard document format work instruction,,,,,strict_required,
2623,2,zh,en,文件發行,Document release,,,,,lexical_required,
2624,2,zh,en,文件發行與分發管制,Document release and distribution control,,,,,lexical_required,
1708,2,zh,en,文件資料管制程序,Document and data control procedure,,,,,strict_required,
2625,2,zh,en,文件管制組,Document Control Section,,,,,strict_required,
2627,2,zh,en,文件製作,Documenting,,,,,lexical_required,
2620,2,zh,en,文件審核,Document review,,,,,lexical_required,
2626,2,zh,en,文件編碼,Document coding,,,,,lexical_required,
1707,2,zh,en,文件編碼與命名作業辦法,Document coding and naming work instruction,,,,,strict_required,
2629,2,zh,en,文件錯誤修正與變更管制,Document correction and change control,,,,,lexical_required,
2628,2,zh,en,文件變更記錄應包括,The document change records should include,,,,,reference_only,
1711,2,zh,en,文管單位文件登記表,Document control division documents register form,,,,,strict_required,
1712,2,zh,en,文管單位文件管制作業辦法,Documents control work instruction,,,,,strict_required,
1710,2,zh,en,文獻檢索計畫書,Literature search protocol,,,,,strict_required,
1709,2,zh,en,文獻檢索報告書,Literature search report,,,,,strict_required,
2637,2,zh,en,日常維護,Routine servicing,,,,,lexical_required,
2647,2,zh,en,月生產計劃之維護,Maintenance of monthly plan,,,,,lexical_required,
1788,2,zh,en,水性切削油更換&監控管理辦法,Aqueous cutting oil change & monitor instruction,,,,,strict_required,
2701,2,zh,en,水質,Water Quality,,,,,lexical_required,
2239,2,zh,en,主要不符合事項,Major nonconformity,,,,,lexical_required,
2241,2,zh,en,主要尺寸 Cpk,Process Capability Index,,,,,strict_required,
2240,2,zh,en,主要品質特性,Major characteristic,,,,,lexical_required,
325,2,zh,en,主要操作功能,primary operating function,,,,,lexical_required,
2238,2,zh,en,主管定期會議,Manager regular meeting,,,,,lexical_required,
1445,2,zh,en,代工產品報價作業辦法,OEM products quotation work Instruction,,,,,strict_required,
1446,2,zh,en,代工產品編碼管理辦法,OEM product coding management instruction,,,,,strict_required,
2253,2,zh,en,代表性包裝,Master Packaging,,,,,lexical_required,
2254,2,zh,en,代表性產品,Master product,,,,,lexical_required,
2250,2,zh,en,代理產品,Imported products,,,,,lexical_required,
2251,2,zh,en,代理產品客戶訴怨受理與處理,Receive and dispose customer complaints of distributed products,,,,,lexical_required,
2252,2,zh,en,代理產品通報,Report for agent products,,,,,lexical_required,
2335,2,zh,en,出庫/領料,Warehouse out/material requisition,,,,,lexical_required,
1511,2,zh,en,出貨UOJ產品包裝品質檢驗規範,Quality inspection standards for products packaging shipped to UOJ,,,,,strict_required,
2336,2,zh,en,出貨包裝,Shipment packaging,,,,,lexical_required,
1512,2,zh,en,出貨作業辦法,Outgoing work instruction,,,,,strict_required,
1513,2,zh,en,出貨單,Shipping list,,,,,strict_required,
1515,2,zh,en,出貨貼標作業辦法,Outgoing labelling work instruction,,,,,strict_required,
2337,2,zh,en,出貨準備,Shipment preparation,,,,,lexical_required,
1514,2,zh,en,出貨檢驗管制程序,Outgoing inspection procedure,,,,,strict_required,
349,2,zh,en,功能性,functionality,,,,,lexical_required,
1523,2,zh,en,加工製程輔助材料表,Auxiliary Materials List for Manufacturing Processes,,,,,strict_required,
2349,2,zh,en,加工標準建立,Establishment of manufacturing standards,,,,,lexical_required,
2350,2,zh,en,加工標準建立包含下列事項,The standards are as follows,,,,,reference_only,
1524,2,zh,en,加熱爐設備保養及操作辦法,Heating furnace maintain and operate instruction,,,,,strict_required,
350,2,zh,en,加嚴檢驗,tightened inspection,,,,,lexical_required,
2351,2,zh,en,包裝,Package,,,,,lexical_required,
2352,2,zh,en,包裝作業,Packaging,,,,,lexical_required,
2354,2,zh,en,包裝系統,Packaging System,,,,,lexical_required,
1525,2,zh,en,包裝系統設計評估報告,Packaging system design assessment report,,,,,strict_required,
2353,2,zh,en,包裝族群,Packaging Family,,,,,lexical_required,
2360,2,zh,en,半成品入庫檢驗,Stock inspection for semi-finished products,,,,,lexical_required,
1527,2,zh,en,半成品入庫檢驗查檢表,Semi-finished products stock in checklist,,,,,strict_required,
1528,2,zh,en,半成品刻印製程規範,Semi-product marking process specification,,,,,strict_required,
1529,2,zh,en,半成品調撥及出貨包裝製程規範,In-process product transfer and outgoing packaging process specification,,,,,strict_required,
1530,2,zh,en,半自動L型封口包裝機操作及保養辦法,L-block type semi-automatic sealing machine operate and maintain instruction,,,,,strict_required,
1531,2,zh,en,半自動殼模沾漿機操作及保養辦法,Semi-automatic shell mold dip machine operate and maintain instruction,,,,,strict_required,
2359,2,zh,en,半循環,Half cycle,,,,,lexical_required,
1532,2,zh,en,卡尺、深度計及指示量錶校正作業辦法,"Vernier caliper, depth gauge and indicating gauge calibrate instruction",,,,,strict_required,
2375,2,zh,en,召回,Recall,,,,,lexical_required,
2378,2,zh,en,召回可能擴及的深度,The depth of possible recall,,,,,lexical_required,
2376,2,zh,en,召回作業,Recall operation,,,,,lexical_required,
2377,2,zh,en,召回作業之執行,Recall implementation,,,,,lexical_required,
1538,2,zh,en,召回作業查檢表,Check list of recall operation,,,,,strict_required,
2379,2,zh,en,召回品之管制,Management of recalled products,,,,,lexical_required,
2383,2,zh,en,召回計畫書,Recall plan,,,,,strict_required,
2380,2,zh,en,召回期限,The time period of recall,,,,,lexical_required,
2381,2,zh,en,召回等級,Recall class,,,,,lexical_required,
2382,2,zh,en,召回策略,Recall strategy,,,,,lexical_required,
2384,2,zh,en,召開臨時品質管理審查會議時機,Timing to hold an ad hoc quality management review meeting,,,,,lexical_required,
359,2,zh,en,可用性工程,usability engineering,,,,,lexical_required,
1539,2,zh,en,可用性工程應用辦法,Applying usability engineering instruction,,,,,strict_required,
2385,2,zh,en,可用性或人因工程,usability human factors engineering,,,,,lexical_required,
360,2,zh,en,可用性測試,usability test,,,,,lexical_required,
2387,2,zh,en,可用性評估計劃,usability evaluation plan,,,,,lexical_required,
1540,2,zh,en,可用性評估報告書,Usability evaluation report,,,,,strict_required,
2386,2,zh,en,可用性評估會議記錄,Meeting minutes,,,,,strict_required,
361,2,zh,en,可辨識的,identifiable,,,,,lexical_required,
1541,2,zh,en,台北倉儲運轉管制辦法,Taipei warehouse operation control instruction,,,,,strict_required,
1542,2,zh,en,台北區蟲害防治及環境清潔檢查記錄表,Pest prevention and control & environment cleanliness check record form of Taipei site,,,,,strict_required,
1545,2,zh,en,台北運轉中心成品區效期點檢表,Taipei warehouse instrument finished product area validity period checklist,,,,,strict_required,
1543,2,zh,en,台北運轉中心器械清洗手冊版次檢查表,Taipei Operation center clean Manual version checklist,,,,,strict_required,
1544,2,zh,en,台北運轉中心器械清洗記錄表,Taipei warehouse instrument cleaning working record form,,,,,strict_required,
2388,2,zh,en,台灣,Taiwan,,,,,strict_required,
2463,2,zh,en,外來文件,External documents,,,,,lexical_required,
